video_id,title,channel,published_at,description,source,comment_id,text,author,like_count,updated_at,cleaned_text,sentiment,compound,pos,neg,neu,confidence
5pqufk7kQmk,"Sentiment Analysis: VADER, LSTM &amp; BERT Explained (NLP Python Guide)",AI Academy,2025-11-04 03:30:13+00:00,Gemini Conversation with Gemini Provide the YouTube video title and short description with hashtags for the attached Based on ...,youtube_video,,,,,,,,,,,,
5pqufk7kQmk,,,2026-03-10 20:23:49+00:00,,youtube_comment,UgxbJv9pBzdL21nfvaZ4AaABAg,Thank you very much for this great video.,@hendrag1174,1.0,2026-03-10 20:23:49+00:00,Thank you very much for this great video.,positive,0.8113,0.551,0.0,0.449,0.551
5pqufk7kQmk,,,2025-11-15 14:18:37+00:00,,youtube_comment,UgzCWCvHTznJLbkf8nd4AaABAg,Best Explanation!!,@HauntedTales999,1.0,2025-11-15 14:18:37+00:00,Best Explanation!!,positive,0.6988,0.827,0.0,0.173,0.827
5HQCNAsSO-s,What is Sentiment Analysis?,IBM Technology,2024-06-19 11:00:05+00:00,Learn more about the technology → https://ibm.biz/Bdm6nz Want to play with the technology yourself? Explore our interactive ...,youtube_video,,,,,,,,,,,,
5HQCNAsSO-s,,,2025-01-03 01:45:45+00:00,,youtube_comment,Ugx-IXY6jDY_YWfGGyV4AaABAg,I just did my tweets sentiment analysis and I can't share it with anyone. But it's cool knowing that I am not a negative person because the average number is around above 0 tho yet not reaching 1. So here I am sharing with y'all! 😂,@endgamefond,4.0,2025-01-03 01:48:27+00:00,I just did my tweets sentiment analysis and I can't share it with anyone. But it's cool knowing that I am not a negative person because the average number is around above 0 tho yet not reaching 1. So here I am sharing with y'all!,positive,0.8767,0.226,0.061,0.713,0.713
5HQCNAsSO-s,,,2026-02-25 07:41:35+00:00,,youtube_comment,UgyMkiRKL5UPFC5hNK54AaABAg,Very important video. Thanks a lot,@narmi116,0.0,2026-02-25 07:41:35+00:00,Very important video. Thanks a lot,positive,0.6436,0.568,0.0,0.432,0.568
5HQCNAsSO-s,,,2024-06-19 14:48:28+00:00,,youtube_comment,UgysasgJexwwjdjRRH14AaABAg,Martin Sir is a very nice teacher. Thank you for explaining us in a simple manner.,@aninditachakraborty847,14.0,2024-06-19 14:48:28+00:00,Martin Sir is a very nice teacher. Thank you for explaining us in a simple manner.,positive,0.7056,0.295,0.0,0.705,0.705
5HQCNAsSO-s,,,2024-06-27 18:20:29+00:00,,youtube_comment,Ugw1uocVDb7POzh3ocl4AaABAg,"I would sell a Kidney, maybe both, to take courses from Martin on anything computer science, especially AI, related.",@seanurquhart3179,3.0,2024-06-27 18:20:29+00:00,"I would sell a Kidney, maybe both, to take courses from Martin on anything computer science, especially AI, related.",neutral,0.0,0.0,0.0,1.0,1.0
5HQCNAsSO-s,,,2024-06-19 11:13:04+00:00,,youtube_comment,UgzTO62qSiVVba0MNnV4AaABAg,"Thank you, IBM.
This really breaks it down into digestible bits.",@ShoyomboRaphael,2.0,2024-06-19 11:13:04+00:00,"Thank you, IBM. This really breaks it down into digestible bits.",positive,0.3612,0.2,0.0,0.8,0.8
5HQCNAsSO-s,,,2025-12-23 23:40:42+00:00,,youtube_comment,UgwM2APEU6x2ga8NZix4AaABAg,Thank you for this.,@jaybansale4153,0.0,2025-12-23 23:40:42+00:00,Thank you for this.,positive,0.3612,0.455,0.0,0.545,0.545
